chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
1960s–70s,"[{'@first': 'yes', 'date': '1968', 'aut': 'R. Crumb', 'src': 'Estren', 'tit': 'Hist. of Underground Comics', 'edn': {'i': 'c.', '#text': '1974'}, 'num': '117', '#text': 'in Grand Opening of the Great Intercontinental Fuck-In and Orgy-Riot'}, {'date': '1971', 'tit': 'Playboy', 'num': '184', 'org': 'HDAS', '#text': 'Apr. If you want to get rid of dormitory rules, you have a fuck-in'}]",an orgy,compound,fuck-in,1968,in Grand Opening of the Great Intercontinental Fuck-In and Orgy-Riot,1971,"Apr. If you want to get rid of dormitory rules, you have a fuck-in",fuck
1970s+,"[{'@first': 'yes', 'date': ['1973', '1988'], 'aut': 'Lighter', 'tit': 'HDAS', '#text': 'oral testimony in  I'}, {'date': '1998', 'tit': ['Sonoma County Indep.', 'MetroActive'], '#text': '16 Jul. on  [Internet] Stringent state and federal regulations—along with claims that the stock is being overfished—are making life harder for commercial fishermen like John Salerno (above), for whom the regulations are ‘a big fuck job’'}, {'date': '2006', 'tit': 'Pinocchia.com', '#text': 'posting at  17 Aug. [Internet] It goes with the fuck job he’s done on the U.S. and the Middle East'}]","victimization, an act of victimization",compound,fuck job,"['1973', '1988']",oral testimony in  I,2006,posting at  17 Aug. [Internet] It goes with the fuck job he’s done on the U.S. and the Middle East,fuck
2000s,"{'@first': 'yes', 'date': '2006', 'tit': 'Revolver', '#text': 'posting at  mag. 1 Mar. [Internet] You sound like some communist fuck job who has no idea what he is saying'}",a term of abuse,compound,fuck job,2006,posting at  mag. 1 Mar. [Internet] You sound like some communist fuck job who has no idea what he is saying,2006,posting at  mag. 1 Mar. [Internet] You sound like some communist fuck job who has no idea what he is saying,fuck
1980s+,"[{'@first': 'yes', 'date': '1981', 'aut': 'A. Loukakis', 'tit': 'For the Patriarch', 'num': '155', '#text': '‘You stay outa this fucknuckle!’ — he turned on Mawbey who looked as if he was having a heart attack'}, {'date': '1988', 'aut': 'McGill', 'tit': 'Dict. of Kiwi Sl.', 'num': '46/2', 'b': 'fuck-knuckle', '#text': 'idiot, often amiably applied; eg ‘G’day, fuck-knuckle. How’s it goin’?'}, {'@class': 'N331', 'date': '1993', 'aut': 'B. Moore', 'tit': 'Lex. of Cadet Lang.', 'num': '156', 'scaps': 'usage:', 'b': 'fuck knuckle', '#text': '‘Christ, Pete, you’re such a fucken !’'}, {'date': '1998', 'tit': 'Bug', '#text': '(Aus.) 24 Feb. [Internet] Or, most shameful of all, too pissed or just not mean enough to be able to go the knuckle with some other fuckknuckle in a respectable and competent way when 23 sheets to the wind'}, {'@class': 'N331', 'date': '2001', 'tit': 'OnLine Dict. of Playground Sl.', 'b': {'i': 'n.', '#text': 'fucknuckle'}, '#text': '[Internet]  derog A stupid clumsy or unpleasant person'}, {'date': '2001', 'aut': 'T. O’Farrell', 'tit': 'Behind Enemy Lines', 'num': '12', '#text': '‘Right fuck-knuckle, get into those dixies over there,’ ordered the crazy-eyed shit posing as a cook'}, {'@class': 'new', 'date': '2011', 'aut': 'J.J. DeCeglie', 'tit': 'Drawing Dead', '#text': '[ebook] You believe these jackassed fuck-knuckles'}, {'@class': 'new', 'date': '2016', 'tit': 'Twitter', '#text': '29 June [Internet] ENGLAND CAN YOU GET ONE JUST ONE SOLITARY FUCKING THING RIGHT FOR ONCE YOU FUCKKNUCKLE NATION OF CUD-CHEWERS'}]","a fool, an incompetent",compound,fuck-knuckle,1981,‘You stay outa this fucknuckle!’ — he turned on Mawbey who looked as if he was having a heart attack,2016,29 June [Internet] ENGLAND CAN YOU GET ONE JUST ONE SOLITARY FUCKING THING RIGHT FOR ONCE YOU FUCKKNUCKLE NATION OF CUD-CHEWERS,fuck
1960s+,"[{'@first': 'yes', 'date': '1992', 'aut': 'L. Siems', 'tit': 'Between the Lines', 'num': '119', '#text': 'I have a fuckload of longing to see you [...] I love you a fuckload, Angelita'}, {'date': '2000', 'tit': 'TheOnion.com', '#text': '20 Apr. [Internet] I’ve never been as liquored up as I have this past year. Christ, I’ve drunk a fuckload of booze!'}, {'date': '2001', 'tit': 'OC Weekly', '#text': '‘Locals Only’ on  VI:28 16 Mar. [Internet] They spewed fuckloads of terribly tragic guitar solos'}, {'date': '2004', 'aut': 'J. Ellroy', 'tit': 'Destination: Morgue!', 'edn': '2004', 'num': '238', '#text': '‘Hollywood Fuck Pad’ in Chickie hit a Rite Aid pharmacy [...] stole a fuckload of Seconal, Amytal, and Tuinal'}]","a great many, a large amount",compound,fuckload,1992,"I have a fuckload of longing to see you [...] I love you a fuckload, Angelita",2004,"‘Hollywood Fuck Pad’ in Chickie hit a Rite Aid pharmacy [...] stole a fuckload of Seconal, Amytal, and Tuinal",fuck
,"{'@class': 'new', '@first': 'yes', 'date': '2015', 'aut': 'J. Stahl', 'tit': 'OG Dad', 'num': '263', '#text': 'The white picket fence can be more exotic than all the fuckmeat abnd absinthe parties at Marilyn Manson’s'}",a sexually desirable and/or available individual,compound,fuckmeat,2015,The white picket fence can be more exotic than all the fuckmeat abnd absinthe parties at Marilyn Manson’s,2015,The white picket fence can be more exotic than all the fuckmeat abnd absinthe parties at Marilyn Manson’s,fuck
2010s,"{'@class': 'new', '@first': 'yes', 'date': '2016', 'tit': 'Twitter', '#text': '5 July [Internet] You incompetent, lying, moon-faced, jizz-gargling fuckmuppet'}",general term of abuse,compound,fuckmuppet,2016,"5 July [Internet] You incompetent, lying, moon-faced, jizz-gargling fuckmuppet",2016,"5 July [Internet] You incompetent, lying, moon-faced, jizz-gargling fuckmuppet",fuck
1980s+,"[{'@first': 'yes', 'date': '1977', 'aut': 'F. Danton', 'tit': 'Fist Club', 'num': '72', '#text': 'They exploded between his strong male legs, and his stud load coursed with\nfurious speed up his long male fuck muscle'}, {'date': '1988', 'aut': 'H. Max', 'tit': 'Gay (S)language'}, {'date': '2006', 'tit': ['Drilled and Filled', 'www.videobox.com'], '#text': 'advert for  [DVD] at  [Internet] Audrey Hollander is queen of the gapes when Otto Bauer stuffs his huge fuck muscle, a dildo, and Audrey’s own fingers up her asshole all at the same time!'}]",the penis,compound,fuck muscle,1977,"They exploded between his strong male legs, and his stud load coursed with
furious speed up his long male fuck muscle",2006,"advert for  [DVD] at  [Internet] Audrey Hollander is queen of the gapes when Otto Bauer stuffs his huge fuck muscle, a dildo, and Audrey’s own fingers up her asshole all at the same time!",fuck
1990s+,"{'@first': 'yes', 'date': '2002', 'aut': 'D. Jay', 'tit': 'Slayer’s FanFic Archive', '#text': '‘Players and Pawns’  [Internet] ‘I thought you would be dead by now you asshole,’ Everett said joyously. ‘No such luck, fucknob,’ Dane said, still approaching'}","a fool, an unpleasant person",compound,fucknob,2002,"‘Players and Pawns’  [Internet] ‘I thought you would be dead by now you asshole,’ Everett said joyously. ‘No such luck, fucknob,’ Dane said, still approaching",2002,"‘Players and Pawns’  [Internet] ‘I thought you would be dead by now you asshole,’ Everett said joyously. ‘No such luck, fucknob,’ Dane said, still approaching",fuck
1980s+,"[{'@first': 'yes', 'date': '1986', 'aut': 'S. King', 'tit': 'It', 'edn': '1987', 'num': '213', 'i': 'felt', '#text': '‘Why did you do that?’ ‘Because I  like it, fucknuts!’ Henry roared back'}, {'date': '1997–2000', 'tit': 'College Sl. Research Project', '#text': '(Cal. State Poly. Uni., Pomona) [Internet] Fucknut (noun) A stupid person; a dumbass; someone who fucks up a lot'}, {'date': '2001', 'tit': 'OnLine Dict. of Playground Sl.', 'b': {'i': 'n.', '#text': 'fucknut'}, '#text': '[Internet]  derog An excessively stupid or unpleasant person'}, {'date': '2002', 'tit': 'Big Ben Kennedy.com', '#text': 'Journal 24 Jul. [Internet] ‘Can I not cuss for 3 hours?’ I should be able to, but just in case let me get it out of my system now... Shit, Fuck, Bitch, Cocksucker, Motherfucker, [...] Fuck Nut'}, {'@class': 'new', 'date': '2002', 'aut': 'Simon & Burns', 'tit': 'Wire', '#text': '‘Old Cases’ ser. 1 ep. 4 [TV script] After which Fucknuts stops whimpering long enough to start just giving people up'}, {'date': '2006', 'aut': 'G. Pelecanos', 'tit': 'Night Gardener', 'num': '45', '#text': 'Fucknuts thinks he’s in a restaurant'}]",a general term of abuse,compound,fuck-nut,1986,"‘Why did you do that?’ ‘Because I  like it, fucknuts!’ Henry roared back",2006,Fucknuts thinks he’s in a restaurant,fuck
1940s+,"[{'@first': 'yes', 'date': '1942', 'aut': 'H. Miller', 'tit': 'Roofs of Paris', 'edn': '1983', 'num': '31', '#text': 'She reveals more of her adventures with those fuck-nutty kids of hers'}, {'date': '1978', 'aut': 'T. Williams', 'tit': 'Followed Man', 'num': '274', '#text': 'Whatever else she is, Marjorie is one fucknutty cunt'}]",obsessed with thoughts of sex,compound,fuck-nutty,1942,She reveals more of her adventures with those fuck-nutty kids of hers,1978,"Whatever else she is, Marjorie is one fucknutty cunt",fuck
1970s,"{'@first': 'yes', 'date': '1976', 'aut': 'A. Salkey', 'tit': 'Come Home, Malcolm Heartland', 'num': '147', '#text': 'We know we’ve failed with you, Malcolm. Claude’s known it from fuck one. You don’t fit'}",the very beginning,compound,fuck one,1976,"We know we’ve failed with you, Malcolm. Claude’s known it from fuck one. You don’t fit",1976,"We know we’ve failed with you, Malcolm. Claude’s known it from fuck one. You don’t fit",fuck
1950s+,"[{'@first': 'yes', 'date': '1978', 'aut': 'L. Kramer', 'tit': 'Faggots', 'num': '79', '#text': 'They would then go to his secret hideaway fuck-nest in Tudor City'}, {'date': '1990', 'con': 'early 1950s', 'aut': 'J. Ellroy', 'tit': 'L.A. Confidential', 'num': '99', '#text': 'Breuning fixed up a room at the Lilac View Motel: the most notorious fuck pad on the Sunset Strip'}, {'date': '2001', 'con': '1964–8', 'aut': 'J. Ellroy', 'tit': 'Cold Six Thousand', 'num': '16', '#text': 'The bridal suite. The fuck pad supreme. Gilt wallpaper. Cupids. Pink rugs and chairs. A fake-fur bedspread'}, {'date': '2006', 'tit': 'Phat Phree', '#text': '16 Aug. [Internet] The night began in earnest with shots of Jager and lines of coke at Chad Billingsley’s Pacific Heights fuck pad'}, {'@class': 'new', 'date': '2010', 'aut': 'J. Ellroy', 'tit': 'Hilliker Curse', 'num': '7', 'i': 'fuck pad', '#text': 'I heard my dad use the term'}, {'@class': 'new', 'date': '2010', 'con': '1973', 'aut': 'C. Stella', 'tit': 'Johnny Porno', 'num': '119', '#text': 'The guy had a furnished apartment she thought was his home but was really a fuck pad, what she’d been told men called such hideaways'}]","a room or apartment that a man keeps for seductions and sex; thus ext. to any place where a lot of sex happens, whether kept by a man or woman",compound,fuck pad,1978,They would then go to his secret hideaway fuck-nest in Tudor City,2010,"The guy had a furnished apartment she thought was his home but was really a fuck pad, what she’d been told men called such hideaways",fuck
1920s+,"[{'@first': 'yes', 'date': '1922', 'aut': '‘J.H. Ross’', 'tit': 'Mint', 'edn': '1955', 'num': '108', '#text': 'Look me in the face, you short-arsed little fuck-pig'}, {'date': '1958', 'con': '1940s', 'aut': 'B. Behan', 'tit': 'Borstal Boy', 'num': '76', '#text': 'We’ll teach you ’ow to be’ave, you dirty Irish fugh-pig'}, {'@class': 'new', 'date': '1968', 'aut': 'A. Burgess', 'tit': ['Enderby Outside', 'Complete Enderby'], 'edn': '2002', 'num': '317', '#text': 'in ‘For cough,’ said Enderby, in no mood for foreign nonsense [...] ‘You fuck off too, English fuckpig’'}, {'date': '1971', 'con': 'WWII', 'aut': 'B. Aldiss', 'tit': 'Soldier Erect', 'num': '46', '#text': 'You hypocritical fuck-pig!'}, {'date': '1981', 'aut': 'B. Behan', 'tit': 'After the Wake', 'num': '91', '#text': '‘The Catacombs’ in You consumptive poxy parcel of fuckpigs'}, {'date': '1993', 'aut': 'I. Welsh', 'tit': 'Trainspotting', 'num': '260', '#text': 'They’re [i.e. anaesthetists] the punters that keep you alive, not sadistic fuck-pigs like Hewison'}, {'@class': 'N331', 'date': '2000', 'aut': 'M. Manning', 'tit': 'Get Your Cock Out', 'num': '35', '#text': 'Gorebladder, the chick drummer from the female metal band The Fuckpigs, drowing on her own blood'}, {'date': '2001', 'aut': 'A. Sillitoe', 'tit': 'Birthday', 'num': '87', '#text': 'I’d buy as much dynamite as I could get my hands on and blow up the Houses of Parliament. Blow all them government fuckpigs to bits'}, {'@class': 'new', 'date': '2009', 'aut': 'P. Temple', 'tit': 'Truth', 'num': '332', '#text': 'They stop being baby girls earlier now [...] They can go from baby girls to fuckpigs in a very short time'}, {'@class': 'new', 'date': '2011', 'aut': 'J.J. Connolly', 'tit': 'Viva La Madness', 'num': '13', '#text': 'Some people [...] act like debauched fuck-pigs'}]","a general term of derision; the implication is of grubbiness, slovenliness",compound,fuckpig,1922,"Look me in the face, you short-arsed little fuck-pig",2011,Some people [...] act like debauched fuck-pigs,fuck
,"{'@first': 'yes', 'date': '1987', 'aut': 'Lighter', 'tit': 'HDAS', 'num': '841', '#text': 'oral testimony in  II My husband uses condoms anyway, ’cause I can’t stand those damned fuck-plugs'}",a contraceptive diaphragm,compound,fuck-plug,1987,"oral testimony in  II My husband uses condoms anyway, ’cause I can’t stand those damned fuck-plugs",1987,"oral testimony in  II My husband uses condoms anyway, ’cause I can’t stand those damned fuck-plugs",fuck
,"{'@first': 'yes', 'date': '2002', 'aut': 'Glenda', 'tit': 'Agendacide: Minutes From Somewhere Else', '#text': '6 May [Internet] If your girlfriend is PMSing, treat her as if she is actually pregnant. For fuck’s sake...be supportive. Imagine if you got kicked in the gonads 3 times each day. Don’t be a shithead and set her off. You will have to dig yourself out of it later anyway, fuckplug'}",a general term of abuse,compound,fuck-plug,2002,"6 May [Internet] If your girlfriend is PMSing, treat her as if she is actually pregnant. For fuck’s sake...be supportive. Imagine if you got kicked in the gonads 3 times each day. Don’t be a shithead and set her off. You will have to dig yourself out of it later anyway, fuckplug",2002,"6 May [Internet] If your girlfriend is PMSing, treat her as if she is actually pregnant. For fuck’s sake...be supportive. Imagine if you got kicked in the gonads 3 times each day. Don’t be a shithead and set her off. You will have to dig yourself out of it later anyway, fuckplug",fuck
,"[{'@first': 'yes', 'date': '1966', 'aut': 'B. Jackson', 'tit': 'Get Your Ass in the Water', 'edn': '1974', 'num': '159', '#text': 'I was horrified to find, / she had two rusty nuts that swung from her butt / and a fuck-pole longer than mine'}, {'date': '1970', 'aut': 'R.O. Graves', 'tit': 'Pick Up Boy', 'num': '132', '#text': 'Buck slid\noff the fuckpole that had been fucking his asshole'}, {'@class': 'N331', 'date': '1972', 'aut': 'B. Rodgers', 'tit': 'Queens’ Vernacular'}, {'date': '1981', 'aut': 'J. Benton', 'tit': 'Jackin’ Buddies', 'num': '33', '#text': 'Breathing harshly, my nostrils flaring, I closed my hand around Greg’s fuckpole and began stroking'}, {'date': '1987', 'tit': 'Discourse', 'num': '112', '#text': 'in (journal) Oh, yeah, slick it up, stud, get that big fuckpole ready to do that fine piece\na favor'}, {'date': '2005', 'tit': 'www.nifty.org', '#text': '‘Banging Illegals’ at  [Internet] He pulled Leroy’s fuckpole out of his jeans, the throbbing head extending above the waistline'}]",the penis,compound,fuckpole,1966,"I was horrified to find, / she had two rusty nuts that swung from her butt / and a fuck-pole longer than mine",2005,"‘Banging Illegals’ at  [Internet] He pulled Leroy’s fuckpole out of his jeans, the throbbing head extending above the waistline",fuck
1980s,"{'@first': 'yes', 'date': '1984', 'aut': 'K. Weaver', 'tit': 'Texas Crude', 'num': '114', '#text': 'She found that fuckrubber under her pillow'}",a contraceptive sheath,compound,fuck-rubber,1984,She found that fuckrubber under her pillow,1984,She found that fuckrubber under her pillow,fuck
1990s+,"{'@first': 'yes', 'date': '1997–2000', 'tit': 'College Sl. Research Project', '#text': '(Cal. State Poly. Uni., Pomona) [Internet] Fucksauce gobbler {vulgar, probably offensive} (noun) A person who swallows semen from a bodily orifice after it has been produced during an act of intercourse'}",semen,compound,fuck-sauce,1997,"(Cal. State Poly. Uni., Pomona) [Internet] Fucksauce gobbler {vulgar, probably offensive} (noun) A person who swallows semen from a bodily orifice after it has been produced during an act of intercourse",1997,"(Cal. State Poly. Uni., Pomona) [Internet] Fucksauce gobbler {vulgar, probably offensive} (noun) A person who swallows semen from a bodily orifice after it has been produced during an act of intercourse",fuck
1960s+,"{'@first': 'yes', 'date': '1974', 'con': '1960s', 'aut': 'R. Price', 'tit': 'Wanderers', 'num': '192', '#text': 'He heard they had live fuck shows in Singapore where women fucked snakes, grizzly bears'}",a live sex show,compound,fuck show,1974,"He heard they had live fuck shows in Singapore where women fucked snakes, grizzly bears",1974,"He heard they had live fuck shows in Singapore where women fucked snakes, grizzly bears",fuck
1990s+,"{'@first': 'yes', 'date': '2003', 'tit': 'Underground UGTV.org', '#text': '[Internet] For lotion I used some Victoria’s Secret Vanilla. It’s good quality and it smells nice. You don’t want your fuck sock to smell like the Jergens your mom used'}",a sock used as a repository for the ejaculation that climaxes masturbation,compound,fuck sock,2003,[Internet] For lotion I used some Victoria’s Secret Vanilla. It’s good quality and it smells nice. You don’t want your fuck sock to smell like the Jergens your mom used,2003,[Internet] For lotion I used some Victoria’s Secret Vanilla. It’s good quality and it smells nice. You don’t want your fuck sock to smell like the Jergens your mom used,fuck
None,"[{'@first': 'yes', 'date': '1958', 'aut': 'W. Talsman', 'tit': 'Gaudy Image', 'edn': '1966', 'num': '222', '#text': 'Yeah, dirty. That fuckstick’s dirty'}, {'date': '1966', 'aut': 'Trimble', 'tit': '5000 Adult Sex Words and Phrases'}, {'date': '1972', 'aut': 'B. Hannah', 'tit': 'Geronimo Rex', 'num': '258', '#text': 'You want people touching you with a fucking stick?'}, {'date': '1977', 'aut': 'E. Torres', 'tit': 'Q&A', 'num': '195', '#text': 'My pistol is like my fuck-stick. Don’t go nowhere without it'}, {'@class': 'N331', 'date': '1980', '#text': 'private communication; delivered as a supposed ‘come-on’ to fellatio: Get your laughing tackle round the snotty end of my fuckstick'}, {'date': '1988', 'aut': '‘Victoria Parker’', 'tit': 'Incest Schoolgirls', '#text': '[Internet] She watched Jamie bend over her big brother’s prick, watched Jamie suck and suck and suck on his big fuck-stick'}, {'@class': 'N331', 'date': '1993', 'aut': 'B. Moore', 'tit': 'Lex. of Cadet Lang.', 'num': '157', 'b': 'fuck stick', '#text': 'usage: ‘The old  had one hell of a weekend’'}, {'date': '1997', 'aut': 'L. Davies', 'tit': 'Candy', 'num': '184', '#text': 'I’m going to belt through your ring with my big fuckstick'}, {'date': '2002', 'aut': 'M Rammsonde', 'tit': 'Nifty Erotic Stories Archive', '#text': '‘Firing Tyler’  [Internet] Tyler was sliding his mouth up and down Reg’s raging fuckstick'}]",the penis,compound,fuckstick,1958,"Yeah, dirty. That fuckstick’s dirty",2002,‘Firing Tyler’  [Internet] Tyler was sliding his mouth up and down Reg’s raging fuckstick,fuck
,"[{'@first': 'yes', 'date': '1958', 'aut': 'W. Talsman', 'tit': 'Gaudy Image', 'edn': '1966', 'num': '221–2', '#text': '‘You must have more names. Next please.’ [...] ‘There’s still the heavenly debasement of the imperturbable fuckstick.’'}, {'date': '1972', 'aut': 'T. Weesner', 'tit': 'Car Thief', 'edn': '1973', 'num': '67', '#text': '‘You better, you dumb fuckstick,’ the boy called out'}, {'date': '1978', 'aut': 'L.K. Truscott', 'tit': 'Dress Gray', 'edn': '1979', 'num': '268', '#text': 'IV One of them got stood up by some Princeton preppie fuckstick'}, {'date': '1981', 'con': '1963', 'aut': 'P. Conroy', 'tit': 'Lords of Discipline', 'num': '145', '#text': '‘Yes, sir!’ ‘Louder, fuckstick.’'}, {'@class': 'N331', 'date': '1983', 'aut': 'S. King', 'tit': 'Christine', 'num': '431', '#text': 'The fuckstick had parked at the far set'}, {'date': '1989', 'con': '1960', 'aut': 'P. Theroux', 'tit': 'My Secret Hist.', 'edn': '1990', 'num': '174', '#text': '‘I’m hep,’ the fuck-stick says. Vinny, you are such a loser'}, {'date': '1993', 'aut': 'B. Moore', 'tit': 'Lex. of Cadet Lang.', 'num': '157', 'scaps': 'usage', 'b': 'fuck stick', '#text': ': ‘You bloody ! Can’t you do anything right?’'}, {'date': '2002', 'aut': 'J. Lerner', 'tit': 'You Got Nothing Coming', 'num': '37', 'i': 'only', '#text': 'Listen up, fuck sticks! This is the  advice you are going to get in the joint'}, {'@class': 'new', 'date': '2010', 'aut': 'L. Redhead', 'tit': 'Thrill City', '#text': '[ebook] Some fuckstick called Craig Murdoch, head of the Red Devils bikie gang'}, {'@class': 'new', 'date': '2012', 'aut': 'E. Beetner', 'src': 'C. Rhatigan and N. Bird', 'tit': 'Pulp Ink 2', '#text': '‘One-Armed Bandit’ in  (eds)  [ebook] This fuckstick wants to cut me to ribbons over nothing'}]","a worthless, contemptible or despicable person; also as a term of address",compound,fuckstick,1958,‘You must have more names. Next please.’ [...] ‘There’s still the heavenly debasement of the imperturbable fuckstick.’,2012,‘One-Armed Bandit’ in  (eds)  [ebook] This fuckstick wants to cut me to ribbons over nothing,fuck
1960s,"{'@first': 'yes', 'date': '1967', 'aut': 'E. Shepard', 'tit': 'Doom Pussy', 'num': '160', '#text': 'Like a tomcat at a petting party, Alby tried to force two B-girls to sit on his knee. Tors eyed him with distaste. ‘He’s fuck-struck,’ observed the Swede to no one in particular'}",obsessed with sex,compound,fuck-struck,1967,"Like a tomcat at a petting party, Alby tried to force two B-girls to sit on his knee. Tors eyed him with distaste. ‘He’s fuck-struck,’ observed the Swede to no one in particular",1967,"Like a tomcat at a petting party, Alby tried to force two B-girls to sit on his knee. Tors eyed him with distaste. ‘He’s fuck-struck,’ observed the Swede to no one in particular",fuck
2000s,"[{'@first': 'yes', 'date': '2000', 'aut': 'J. Barnes', 'tit': 'Love, Etc', 'num': '70', '#text': 'And I was duly fuck-struck as I waved him off'}, {'date': '2007', 'aut': 'D.C. Fuller', 'tit': 'Meth Monster', 'num': '140', '#text': 'At that moment I was fuck-struck and pussy whipped all in one fell swoop'}]",emotionally overwhelmed in the immediate aftermath of intercourse,compound,fuck-struck,2000,And I was duly fuck-struck as I waved him off,2007,At that moment I was fuck-struck and pussy whipped all in one fell swoop,fuck
1990s+,"[{'@class': 'new18D', 'date': '1996', 'tit': 'Tumblr', '#text': '17 Apr. [Internet] A superb fuck-ton of clothing references'}, {'@class': 'new18D', 'date': '2007', 'tit': 'You Tube', '#text': '27 Aug. [Internet] You need a fuck ton of practice to get anywhere near good, until then, don’t upload shite like this'}, {'@class': 'new18D', 'date': '2018', 'tit': 'Twitter', '#text': '6 Sept. [Internet] If there are two things that I’ve learned at the British Museum it’s: 1. The Brits stole a fuck ton of shit [etc]'}]","a large amount, a great many",compound,fuck ton,1996,17 Apr. [Internet] A superb fuck-ton of clothing references,2018,6 Sept. [Internet] If there are two things that I’ve learned at the British Museum it’s: 1. The Brits stole a fuck ton of shit [etc],fuck
1970s+,"[{'@first': 'yes', 'date': '1974', 'tit': 'Guy', 'num': '16/4', '#text': '(Sydney) 21 Apr. [personal advert] Sydney: Guy 22 bi, 8"" with surf fuck truk [sic] wants singles, couples for weekend trips up coast or quickies, enjoys adultery'}, {'@class': 'new18A', 'date': '1980', 'tit': 'Filmnews', 'num': '8/2', '#text': '(Sydney) 1 Apr. Young men are encouraged to see their masculinity and their sexuality embodied in gleaming fuck trucks, modified to Star Wars proportions with fibre-glass and super-hero motives'}, {'date': '1987', 'aut': 'M. Bowden', 'tit': 'Doctor Dealer', 'edn': '2001', 'num': '14', '#text': 'They called the van Fuller’s Fuck Truck. Out on deliveries with Larry, Glen had friends who would get them beer or whiskey. Then they would pick up girls'}, {'date': '1999', 'aut': 'G. Seal', 'tit': 'Lingo', 'num': '92', 'scaps': ['fuck truck', 'shaggin’ wagon'], '#text': 'as for  (see below)'}, {'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.'}, {'@class': 'new', 'date': '2010', 'aut': 'Codella and Bennett', 'tit': 'Alphaville', 'edn': '2011', 'num': '329', '#text': 'The van was a conversion job that looked like a fuck truck party mobile'}]","any vehicle, usu. a small van (poss. with a mattress in the back), in which a young man hopes to seduce women",compound,fuck truck,1974,"(Sydney) 21 Apr. [personal advert] Sydney: Guy 22 bi, 8"" with surf fuck truk [sic] wants singles, couples for weekend trips up coast or quickies, enjoys adultery",2010,The van was a conversion job that looked like a fuck truck party mobile,fuck
2010s,"{'@class': 'new', '@first': 'yes', 'date': '2010s', 'tit': 'Twitter', '#text': '5 July [Internet] You spunk-cheeked fucktrumpet'}",general term of abuse,compound,fuck-trumpet,2010,5 July [Internet] You spunk-cheeked fucktrumpet,2010,5 July [Internet] You spunk-cheeked fucktrumpet,fuck
1990s+,"{'@first': 'yes', 'date': '2002', 'tit': 'Metal Sludge', '#text': 'Emails of the Week 27 Dec. at  [Internet] It could have come attached to a nude photo of Angela under a Christmas tree while slowly pouring Egg Nog over her throbbing fuck udders while wearing a Santa hat and stockings'}",the female breasts,compound,fuck udders,2002,Emails of the Week 27 Dec. at  [Internet] It could have come attached to a nude photo of Angela under a Christmas tree while slowly pouring Egg Nog over her throbbing fuck udders while wearing a Santa hat and stockings,2002,Emails of the Week 27 Dec. at  [Internet] It could have come attached to a nude photo of Angela under a Christmas tree while slowly pouring Egg Nog over her throbbing fuck udders while wearing a Santa hat and stockings,fuck
1970s+,"[{'@first': 'yes', 'date': '1974', 'aut': 'Lighter', 'tit': 'HDAS', '#text': 'oral testimony in  I'}, {'date': '1989', 'aut': 'C. Hiaasen', 'tit': 'Skin Tight', 'num': '138', 'i': 'Hey, fuckwad, you awake?'}, {'@class': 'new', 'date': '1997', 'aut': 'T. Fontana', 'tit': 'Oz', '#text': '‘To Your Health’  ser. 1 ep. 6 [TV script] ‘The commissioner rejected our proposal’ [...] ‘The commissioner didn’t reject it. Governor Fuckwad did’'}, {'date': '1999', 'aut': 'T. Dorsey', 'tit': 'Florida Roadkill', 'num': '175', '#text': 'Look at this wad, fuck-wad!'}, {'date': '2001', 'aut': 'J. Stahl', 'tit': 'Plainclothes Naked', 'edn': '2002', 'num': '95', '#text': 'Hurry up, fuckwad. He left the keys'}, {'date': '2006', 'aut': 'C. Hiaasen', 'tit': 'Nature Girl', 'num': '227', '#text': 'Can I help you, fuckwad?'}, {'@class': 'new', 'date': '2011', 'aut': 'F. Manjoo', 'tit': 'Slate', '#text': ""9 Mar. With so many fuckwads everywhere, sometimes it's hard to understand how anyone gets anything out of the Web . Advocates for anonymity argue that fuckwaddery is the price we have to pay to ensure people's privacy""}]","a fool, a stupid or contemptible person; often in direct address, thus  stupid or contemptible activity",compound,fuckwad,1974,oral testimony in  I,2011,"9 Mar. With so many fuckwads everywhere, sometimes it's hard to understand how anyone gets anything out of the Web . Advocates for anonymity argue that fuckwaddery is the price we have to pay to ensure people's privacy",fuck
18C,"{'@first': 'yes', 'date': ['1785', '1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue'}","‘An impotent or almost impotent man whom none but a beggar-woman will allow to “kiss” her’ (Grose, 1785)",compound,fuck-beggar,"['1785', '1788', '1796']",,"['1785', '1788', '1796']",,fuck
late 19C–1900s,"{'@first': 'yes', 'date': '1890–1904', 'aut': 'Farmer & Henley', 'tit': 'Sl. and Its Analogues'}",a male or female masturbator,compound,fuck-fist,1890,,1890,,fuck
